"Flight.Type","Airline","Flight.No","TotalFlight"
"Domestic","AZUL","AZU - 2900",2
"Domestic","AZUL","AZU - 2906",21
"Domestic","AZUL","AZU - 2907",87
"Domestic","AZUL","AZU - 2914",28
"Domestic","AZUL","AZU - 2915",10
"Domestic","AZUL","AZU - 2920",46
"Domestic","AZUL","AZU - 2927",4
"Domestic","AZUL","AZU - 2928",4
"Domestic","AZUL","AZU - 2933",3
"Domestic","AZUL","AZU - 2935",20
"Domestic","AZUL","AZU - 2942",22
"Domestic","AZUL","AZU - 2947",3
"Domestic","AZUL","AZU - 2949",10
"Domestic","AZUL","AZU - 2952",6
"Domestic","AZUL","AZU - 2955",1
"Domestic","AZUL","AZU - 2956",14
"Domestic","AZUL","AZU - 2958",10
"Domestic","AZUL","AZU - 2963",12
"Domestic","AZUL","AZU - 2964",1
"Domestic","AZUL","AZU - 2965",1
"Domestic","AZUL","AZU - 2970",93
"Domestic","AZUL","AZU - 2971",89
"Domestic","AZUL","AZU - 2976",20
"Domestic","AZUL","AZU - 2977",15
"Domestic","AZUL","AZU - 2978",10
"Domestic","AZUL","AZU - 2979",16
"Domestic","AZUL","AZU - 2981",25
"Domestic","AZUL","AZU - 2983",14
"Domestic","AZUL","AZU - 2984",19
"Domestic","AZUL","AZU - 2985",15
"Domestic","AZUL","AZU - 2986",8
"Domestic","AZUL","AZU - 2988",41
"Domestic","AZUL","AZU - 2989",11
"Domestic","AZUL","AZU - 2991",4
"Domestic","AZUL","AZU - 2993",5
"Domestic","AZUL","AZU - 2997",2
"Domestic","AZUL","AZU - 4000",42
"Domestic","AZUL","AZU - 4001",96
"Domestic","AZUL","AZU - 4002",287
"Domestic","AZUL","AZU - 4003",18
"Domestic","AZUL","AZU - 4004",100
"Domestic","AZUL","AZU - 4005",88
"Domestic","AZUL","AZU - 4006",120
"Domestic","AZUL","AZU - 4007",153
"Domestic","AZUL","AZU - 4008",40
"Domestic","AZUL","AZU - 4009",68
"Domestic","AZUL","AZU - 4010",121
"Domestic","AZUL","AZU - 4011",137
"Domestic","AZUL","AZU - 4012",55
"Domestic","AZUL","AZU - 4013",77
"Domestic","AZUL","AZU - 4014",160
"Domestic","AZUL","AZU - 4015",192
"Domestic","AZUL","AZU - 4016",105
"Domestic","AZUL","AZU - 4017",214
"Domestic","AZUL","AZU - 4018",120
"Domestic","AZUL","AZU - 4019",66
"Domestic","AZUL","AZU - 4020",39
"Domestic","AZUL","AZU - 4021",65
"Domestic","AZUL","AZU - 4022",127
"Domestic","AZUL","AZU - 4023",140
"Domestic","AZUL","AZU - 4024",16
"Domestic","AZUL","AZU - 4025",3
"Domestic","AZUL","AZU - 4026",34
"Domestic","AZUL","AZU - 4027",43
"Domestic","AZUL","AZU - 4028",15
"Domestic","AZUL","AZU - 4029",15
"Domestic","AZUL","AZU - 4030",62
"Domestic","AZUL","AZU - 4031",140
"Domestic","AZUL","AZU - 4032",143
"Domestic","AZUL","AZU - 4033",86
"Domestic","AZUL","AZU - 4034",35
"Domestic","AZUL","AZU - 4035",90
"Domestic","AZUL","AZU - 4037",22
"Domestic","AZUL","AZU - 4038",15
"Domestic","AZUL","AZU - 4039",86
"Domestic","AZUL","AZU - 4040",28
"Domestic","AZUL","AZU - 4041",43
"Domestic","AZUL","AZU - 4042",37
"Domestic","AZUL","AZU - 4043",57
"Domestic","AZUL","AZU - 4044",61
"Domestic","AZUL","AZU - 4045",15
"Domestic","AZUL","AZU - 4046",25
"Domestic","AZUL","AZU - 4047",30
"Domestic","AZUL","AZU - 4048",209
"Domestic","AZUL","AZU - 4049",223
"Domestic","AZUL","AZU - 4050",171
"Domestic","AZUL","AZU - 4051",4
"Domestic","AZUL","AZU - 4052",2
"Domestic","AZUL","AZU - 4053",14
"Domestic","AZUL","AZU - 4054",38
"Domestic","AZUL","AZU - 4055",26
"Domestic","AZUL","AZU - 4058",59
"Domestic","AZUL","AZU - 4059",26
"Domestic","AZUL","AZU - 4060",16
"Domestic","AZUL","AZU - 4061",129
"Domestic","AZUL","AZU - 4062",58
"Domestic","AZUL","AZU - 4063",53
